"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"vVerbal",1,4990,1.56312625250501,1.0725922081533,1,1.27980961923848,0,1,5,4,2.13861670951737,3.69990610929654,0.0151839360122427
"vExclusion",2,4990,1.43587174348697,0.958444963693645,1,1.17134268537074,0,1,5,4,2.51399309838183,5.69704203680267,0.0135680334887354
"vPhysical",3,4990,1.25430861723447,0.778324616857353,1,1.04108216432866,0,1,5,4,3.574122204327,12.6644678125071,0.0110181960015006
"vRelational",4,4990,1.51402805611222,1.01743845289352,1,1.24799599198397,0,1,5,4,2.25037459109464,4.37068393069792,0.0144031629613727
"vRacial",5,4990,1.23947895791583,0.775556446832213,1,1.02354709418838,0,1,5,4,3.71280266636621,13.5151616810585,0.0109790089589198
"vReligious",6,4990,1.17014028056112,0.667450566656714,1,1,0,1,5,4,4.54256552518167,20.9132212745206,0.00944862979463508
"vSexual",7,4990,1.41643286573146,0.987053141218801,1,1.1312625250501,0,1,5,4,2.59596892596528,5.85200705087316,0.0139730194038548
"vComp",8,4990,1.14569138276553,0.609124572632609,1,1,0,1,5,4,4.86670961509738,24.5252879219628,0.00862294958329247
"vCell",9,4990,1.13386773547094,0.583836598650439,1,1,0,1,5,4,5.09041118697693,26.9537726450826,0.00826496546229497
"vCompOut",10,4990,1.14328657314629,0.610680331325342,1,1,0,1,5,4,4.98627217137667,25.6802445156925,0.00864497336853105
"vCellOut",11,4990,1.13827655310621,0.604418351033527,1,1,0,1,5,4,5.04139225304824,26.1047339227673,0.00855632690313807
"pVerbal",12,4990,1.36513026052104,0.826346658749869,1,1.16608216432866,0,1,5,4,2.89639116326075,8.71895597306772,0.0116980103855046
"pExclusion",13,4990,1.2623246492986,0.730957498295982,1,1.07615230460922,0,1,5,4,3.50831233765296,13.0155962213224,0.0103476529079996
"pPhysical",14,4990,1.19418837675351,0.665989553350914,1,1.01077154308617,0,1,5,4,4.14604250082945,17.905205414299,0.00942794725342355
"pRelational",15,4990,1.1501002004008,0.585892638958375,1,1,0,1,5,4,4.82763868454275,25.0445967818523,0.00829407138366655
"pRacial",16,4990,1.13406813627255,0.581209819295608,1,1,0,1,5,4,5.22105025709431,28.654216517062,0.00822777998832001
"pReligious",17,4990,1.11282565130261,0.548961584329614,1,1,0,1,5,4,5.6606175431491,33.3355375889217,0.00777126433166194
"pSexual",18,4990,1.17074148296593,0.6491785605442,1,1,0,1,5,4,4.50647618816941,20.9550984025976,0.00918996581263079
"pComp",19,4990,1.09699398797595,0.511847002670762,1,1,0,1,5,4,6.20061353500575,40.2175180472519,0.0072458592161433
"pCell",20,4990,1.10300601202405,0.516912777329536,1,1,0,1,5,4,5.98163251310457,37.8181520290237,0.00731757183691994
"pCompOut",21,4990,1.10841683366733,0.541770275732124,1,1,0,1,5,4,5.83537587411082,35.4350701690576,0.00766946201689725
"pCellOut",22,4990,1.10941883767535,0.538413613505555,1,1,0,1,5,4,5.84550807384313,35.8249163327609,0.00762194410274917
