CASEID	Q1	Q3B	Q4	Q6_COMP	Q66A	Q66B	Q66C	Q66D	Q66E	Q66F	Q66G	Q66H	Q66I	Q66J	Q66K	Q68A	Q68B	Q68C	Q68D	Q68E	Q68F	Q68G	Q68H	Q68I	Q68J	Q68K
2963	1	10	5	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
9429	1	10	5	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
462	2	10	5	3	1	1	2	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2726	2	10	5	3	3	4	1	1	2	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
4275	2	11	5	2	5	2	2	1	1	1	2	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1
10486	2	10	5	2	1	3	1	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
3098	1	11	5	2	1	5	1	1	1	1	2	1	1	1	1	2	2	1	1	1	1	2	1	1	1	1
8024	2	11	5	2	2	1	1	2	1	1	2	1	1	1	2	1	2	2	1	1	1	1	1	1	1	1
649	1	10	5	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1319	1	11	5	2	2	2	1	2	1	2	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1
3868	1	10	5	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6017	1	10	5	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6311	1	10	5	2	2	1	1	3	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
6569	1	10	5	2	3	2	2	2	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7308	1	10	5	3	2	2	1	2	1	2	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8249	1	10	5	2	2	2	2	5	5	5	5	5	5	5	5	2	1	1	1	1	1	1	1	1	1	1
8498	1	10	5	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
9290	1	11	5	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
9747	1	11	5	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10090	1	11	5	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11020	1	10	5	2	1	1	1	1	1	1	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
272	2	10	5	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
439	2	10	5	2	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3727	2	11	5	6	2	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4940	2	10	5	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9573	2	10	5	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11509	2	10	5	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11543	2	10	5	2	2	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
